Program Number,Program Type,Program Facility Name,Site Class,Address1,Address2,Locality,County,ZIPCode,SWIS Code,DEC Region,Latitude,Longitude,Control Code,Control Type,OU,Project Name,Project Completion Date,Waste Name,Contaminants,Owner Name,Owner Address1,Owner Address2,Owner City,Owner State,Owner ZIP,Disposal Name,Disposal Address1,Disposal Address2,Disposal City,Disposal ZIP,Disposal State,Operator Name,Operator Address1,Operator Address2,Operator City,Operator State,Operator Zip,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
E633053,ERP,"Former Rome Cable Site, Bld. Complex #1",A,421 Ridge Street,,Rome,Oneida,13441-,3313,6,43.212347310,-75.467218695,Environmental Easement,Environmental Easement,01,,2023-03-30T00:00:00.000,,benzo(a)pyrene,Shawna Papale,584 Phoenix Drive,,ROME,NY,13441,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-75.467218695, 43.21234731]}",989,1366,625
837010,HW,J.I. Case Property (formerly Ag-Chem),C,3922 Allis Road,,Ridgeway,Orleans,14103,3734,8,43.223158170,-78.356149160,Deed Restriction,Deed Restriction,01,Remedial Design,2005-03-31T00:00:00.000,DDD,,Don Rensner,3301 S. Hoover Rd,,Wichita,KS,67215,*** MULTIPLE SITE OWNERS ***,,,,,ZZ,New York Insecticide Co.,3922 Allis Road,,Ridgeway,NY,,"{'type': 'Point', 'coordinates': [-78.35614916, 43.22315817]}",500,934,626
C828209,BCP,Former Wollensack Optical,C,872 and 886 Hudson Avenue,,Rochester,Monroe,14621,2814,8,43.181013889,-77.598883333,Environmental Easement,Environmental Easement,01,Remedial Design,2021-02-01T00:00:00.000,,benzene,Carolyn vitale,312 State Street,,Rochester,NY,14608,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.598883333, 43.181013889]}",537,1680,2093
V00482,VCP,NM - Troy Liberty St. MGP,C,Liberty St.,,Troy,Rensselaer,12180,4217,4,42.726350830,-73.696025790,Deed Restriction,Deed Restriction,01,Site Characterization,2007-11-21T00:00:00.000,,chrysene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.69602579, 42.72635083]}",110,11,2030
336016,HW,Old Al Turi Landfill,04,73 Hartley Road,,Goshen,Orange,10924,3630,3,41.403594710,-74.378202050,Deed Restriction,Deed Restriction,01,Remedial Investigation,1996-03-01T00:00:00.000,,magnesium,,,,,,,,,,,,,JOSEPH GAMBINO,73 HARTLEY ROAD,,GOSHEN,NY,10924,"{'type': 'Point', 'coordinates': [-74.37820205, 41.40359471]}",877,1504,2134
336045,HW,Interceram,02,20 Fortune Road West,,Wallkill,Orange,10940,3652,3,41.475094580,-74.374596880,Environmental Easement,Environmental Easement,01,Remedial Design,1997-06-01T00:00:00.000,TRICHLOROETHYLENE (F002 WASTE),"1,1,1-Trichloroethane(TCA)",Chris Priebke / Ingo Priebke,20 Fortune Road West,,Middletown,NY,10941,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.37459688, 41.47509458]}",886,1541,2134
130086,HW,K - Intersection St. - Hempstead MGP,C,Intersection St.,,Hempstead,Nassau,11530-,3020,1,40.716681330,-73.632498780,Environmental Easement,Environmental Easement,01,Remedial Design,2011-09-15T00:00:00.000,,coal tar,sarah aldridge,175 East Old Country Rd,,Hicksville,NY,11801,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.63249878, 40.71668133]}",62,1357,2094
C241079,BCP,Flushing Indust. Pk. (Western Waterfront) Parcel 3,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757417553,-73.837183781,Environmental Easement,Environmental Easement,01,Remedial Action,2007-12-27T00:00:00.000,,arsenic,NI XIA ZHENG,142-29 37TH AVENUE,SUITE M1,FLUSHING,NY,11354,"Yumei Wang, Jin Gui Sun, and Hao Li",41-60 Main St.,,,,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.837183781, 40.757417553]}",196,824,2137
932019,HW,Former Hooker Main Plant,04,Buffalo Avenue,,Niagara Falls,Niagara,14302,3211,9,43.078152540,-79.008561470,Deed Restriction,Deed Restriction,01,Remedial Action,1996-09-01T00:00:00.000,,chlorotoluene,Occidential Chemical Corporation,"5005 LBJ Freeway, Suite 2200",,Dallas,TX,75244,,,,,,,Timothy Bathory,PO Box 344,Buffalo Avenue and 47th Street,Niagara Falls,NY,14302-0344,"{'type': 'Point', 'coordinates': [-79.00856147, 43.07815254]}",159,168,2131
518002,HW,Johnstown City Landfill,04,West Fulton Street Extension,,Johnstown,Fulton,12095,1828,5,43.043971920,-74.393986350,Environmental Notice,Environmental Notice,01,Remedial Design,1995-06-01T00:00:00.000,MAY INCLUDE EITHER/BOTH  (F003 / F005),,City of Johnstown,33-41 East Main Street,,Johnstown,NY,12095,CITY OF JOHNSTOWN,,,,,ZZ,CITY OF JOHNSTOWN,33-41 EAST MAIN ST.,,JOHNSTOWN,NY,12095,"{'type': 'Point', 'coordinates': [-74.39398635, 43.04397192]}",383,1227,2085
314076,HW,IBM B952/982,04,Neptune Road,,Poughkeepsie,Dutchess,12602,1446,3,41.644194980,-73.923976890,Other Controls,Other Controls,01,Site Characterization,1993-11-01T00:00:00.000,(SOVASOL RINSE DISPOSAL),trichloroethene (TCE),"Neptune Capital Investments, LLC",PO Box 1580,,Poughkeepsie,NY,12601-1580,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.92397689, 41.64419498]}",587,1021,2040
C241225,BCP,HPS Parcel F,C,1-15 57th Avenue,,Long Island City,Queens,11101,4101,2,40.739444444,-73.961111111,Environmental Easement,Environmental Easement,01,Remedial Investigation,2019-11-26T00:00:00.000,,benzo(b)fluoranthene,Tristan Nadal,c/o gotham organization llc,"432 park avenue, 2nd floor",new york,NY,10016,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.961111111, 40.739444444]}",196,873,2137
B00153,ERP,Ford Garage Environmental Clean-Up,C,2624 Main Street,,Gorham,Ontario,14461-,3532,8,42.799406590,-77.132202000,Environmental Easement,Environmental Easement,01,Remedial Action,2012-09-13T00:00:00.000,,lead,FRED LIGHTFOOTE,4736 SOUTH STREET,P.O. BOX 224,GORHAM,NY,14461,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.132202, 42.79940659]}",807,412,2133
826003,HW,Jones Chemical,04,100 Sunny Sol Boulevard,,Caledonia,Livingston,14423,2622,8,42.977964420,-77.843626740,Environmental Easement,Environmental Easement,01,Remedial Action,2004-04-26T00:00:00.000,TRICHLOROETHYLENE (TCE),trichloroethene (TCE),Timothy J. Gaffney,100 Sunny sol boulevard,,caledonia,NY,14423,"JONES CHEMICAL COMPANY, INC.",,,,,ZZ,Timothy j gaffney,100 Sunny Sol Boulevard,,Caledonia,NY,14423,"{'type': 'Point', 'coordinates': [-77.84362674, 42.97796442]}",747,177,2091
V00150,VCP,North Star Cleaners,C,7980-7984 Brewerton Road,,Cicero,Onondaga,13039,3422,7,43.156786790,-76.121028920,Deed Restriction,Deed Restriction,01,Remedial Investigation,1998-12-01T00:00:00.000,,vinyl chloride,"Paul F. Vellano, Jr., Esq.","Menter, Rudin & Trivelpiece, P.C.","308 Maltbie St., Suite 200",Syracuse,NY,13204-1498,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-76.12102892, 43.15678679]}",704,357,2132
429007,HW,NM - Fort Plain MGP,C,14 Hancock St,,Fort Plain,Montgomery,13339-,2922,4,42.929538480,-74.621158840,Environmental Easement,Environmental Easement,01,Site Characterization,2002-04-04T00:00:00.000,,benzo(k)fluoranthene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.62115884, 42.92953848]}",491,551,624
C915201,BCP,ExxonMobil Oil Former Buffalo Terminal,C,522 and 542 Elk Street,,Buffalo,Erie,14210,1502,9,42.865550139,-78.831096345,Environmental Easement,Environmental Easement,01,Remedial Investigation,2007-02-15T00:00:00.000,,"indeno(1,2,3-CD)pyrene",pAUL nEUREUTER,4 CENTRE DRIVE,,ORCHARD PARK,NY,14127,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.831096345, 42.865550139]}",300,66,2041
C633068,BCP,Former Tri-State Industrial Laundries Site,C,1634 Lincoln Avenue,,Utica,Oneida,13502,3316,6,43.094211841,-75.257016980,Environmental Easement,Environmental Easement,00,Certificate of Completion,2013-10-11T00:00:00.000,,xylene (mixed),Steven H. Bussey,"c/o Fitzgerald, DePietro and Wojnas",291 Genesee Street,Utica,NY,13501,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-75.25701698, 43.094211841]}",984,1465,625
622019,HW,NM - Ilion MGP,C,1 East St.,,Ilion,Herkimer,13357-,2228,6,43.012104824,-75.027789934,Environmental Easement,Environmental Easement,01,Remedial Design,2016-03-03T00:00:00.000,,toluene,Steven Stucker,"300 Erie Boulevard, West",,Syracuse,NY,13202,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-75.027789934, 43.012104824]}",680,564,2088
808042,HW,Kaplan Scrap Yard,C,104 East Woodlawn Avenue,,Elmira,Chemung,14901,0804,8,42.109907918,-76.815268752,Decision Document,Decision Document,01,Site Characterization,2013-05-30T00:00:00.000,,benzo(a)pyrene,Michael Kirwin,Kaplan Scrap Yard,104 East Woodlawn Ave,Elmira,NY,14901,,,,,,,Michael Kirwin,Kaplan Scrap Yard,104 East Woodlawn Ave,Elmira,NY,14901,"{'type': 'Point', 'coordinates': [-76.815268752, 42.109907918]}",485,926,2036
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,01,Remedial Action,1989-10-01T00:00:00.000,,vinyl chloride,Raymond Kew,6 Pine Street,,Hudson Falls,NY,12839,,,,,,,Town of Kingsbury,Town Offices,210 Main Street,Hudson Falls,NY,12839,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,01,,2021-10-31T00:00:00.000,,chlorobenzene,Raymond Kew,6 Pine Street,,Hudson Falls,NY,12839,,,,,,,Town of Kingsbury,Town Offices,210 Main Street,Hudson Falls,NY,12839,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
V00159,VCP,Nassau Metals,C,1 Nassau Place and 286 Richmond Valley Road,Page Ave,Staten Island,Richmond,10307,4301,2,40.520656040,-74.237543210,Deed Restriction,Deed Restriction,01,Remedial Investigation,2000-10-23T00:00:00.000,,mercury,Larry Lance,"1099 18th Street,",Suite 2900,Denver,CO,80202,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.23754321, 40.52065604]}",585,612,2139
401009,HW,Northeast Industrial Park,04,County Road 201,,Guilderland Center,Albany,12085,0130,4,42.678758000,-73.947276000,Environmental Easement,Environmental Easement,01,Site Characterization,1992-02-01T00:00:00.000,DDT  (U061),,"Mr. David W. Ahl, Vice President",Industrial Parks Division,695 Rotterdam Industrial Park,Schenectady,NY,12306,US GENERAL SERVICES - US ARMY,,,,,ZZ,US GENERAL SERVICES - US ARMY,,,,ZZ,,"{'type': 'Point', 'coordinates': [-73.947276, 42.678758]}",832,16,2030
C915241,BCP,Former American Linen Supply Company Facility,C,822 Seneca Street,,Buffalo,Erie,14210,1502,9,42.876055556,-78.846861111,Environmental Easement,Environmental Easement,01,Remedial Design,2014-08-15T00:00:00.000,,trichloroethene (TCE),Gary Kriner,726 Exchange Street,Suite 825,Buffalo,NY,14210,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.846861111, 42.876055556]}",300,66,2041
518020,HW,NM - Johnstown MGP,C,103 N. Market St,,Johnstown,Fulton,12095,1808,5,43.008756240,-74.373088380,Environmental Easement,Environmental Easement,01,Remedial Investigation,2010-03-30T00:00:00.000,,phenanthrene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.37308838, 43.00875624]}",384,1238,2085
336019,HW,New Windsor Town Landfill,04,Silver Stream Road,,New Windsor,Orange,12550,3648,3,41.494490670,-74.080091840,Deed Restriction,Deed Restriction,01,Remedial Investigation,1991-10-01T00:00:00.000,,metals,George A. Green,Office of the Supervisor,555 UNION AVENUE,NEW WINDSOR,NY,12553,TOWN OF NEW WINDSOR,,,,,NY,TOWN OF NEW WINDSOR,555 UNION AVENUE,,NEW WINDSOR,NY,12550,"{'type': 'Point', 'coordinates': [-74.08009184, 41.49449067]}",889,988,2134
224026,HW,K - Former Brooklyn Borough Gas Works,04,2731 West 12th Street,,Brooklyn,Kings,11224,2401,2,40.581505670,-73.978777740,Environmental Notice,Environmental Notice,01,Remedial Investigation,2001-03-29T00:00:00.000,,benzo(k)fluoranthene,Real Estate Department,347 Madison Avenue,,New York,NY,10017,BROOKLYN BOROUGH GAS COMPANY,,,,,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.97877774, 40.58150567]}",894,903,2090
B00158,ERP,Independent Leather Tannery,C,321-333 South Main Street,,Gloversville (c),Fulton,12078-,1805,5,43.038637200,-74.352747900,Environmental Easement,Environmental Easement,01,Remedial Design,2005-08-08T00:00:00.000,,benzo(a)anthracene,Mayor,City Hall 3 Frontage Road,,Gloversville,NY,12078-2897,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.3527479, 43.0386372]}",385,1227,2085
C231062,BCP,Mid Block #57 Project,C,615-649 West 57th Street,,New York,New York,10019,3101,2,40.771504571,-73.993108792,Environmental Easement,Environmental Easement,01,Remedial Investigation,2010-03-06T00:00:00.000,,benzene,"Nancy Samiljan, Esq.","c/o Goulston & Storrs, P.C.",400 Atlantic Avenue,Boston,MA,02110,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.993108792, 40.771504571]}",749,742,2095
B00020,ERP,Former Hamilton Reproduction,C,166-186 North Hamilton Street,,Poughkeepsie (c),Dutchess,12601-,1413,3,41.711819530,-73.921255590,Environmental Easement,Environmental Easement,01,Remedial Investigation,1999-03-29T00:00:00.000,,benzo(a)pyrene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.92125559, 41.71181953]}",588,1021,2040
152022,HW,Goldisc Recording,04,Broadway Avenue,,Holbrook,Suffolk,11741,5228,1,40.774001250,-73.064854000,Deed Restriction,Deed Restriction,01,Site Characterization,1987-01-01T00:00:00.000,PLATING WASTES,,The First Holbrook Company,6010 Roosevelt Avenue,,Woodside,NY,11377,THE FIRST HOLBROOK COMPANY,,,,,ZZ,THE FIRST HOLBROOK COMPANY,BROADWAY AVE.,,HOLBROOK,NY,11741,"{'type': 'Point', 'coordinates': [-73.064854, 40.77400125]}",1019,1119,2179
C241225,BCP,HPS Parcel F,C,1-15 57th Avenue,,Long Island City,Queens,11101,4101,2,40.739444444,-73.961111111,Environmental Easement,Environmental Easement,01,Remedial Design,2019-12-26T00:00:00.000,,"dibenz[a,h]anthracene",Tristan Nadal,c/o gotham organization llc,"432 park avenue, 2nd floor",new york,NY,10016,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.961111111, 40.739444444]}",196,873,2137
C241108,BCP,Paragon Paint and Varnish Corp,C,5-49 46th Avenue,,Long Island City,Queens,11101-5214,4101,2,40.747222222,-73.953055556,Environmental Easement,Environmental Easement,01,Remedial Design,2015-11-25T00:00:00.000,,ethylbenzene,A. Till,757 THIRD AVENUE - 17TH FLOOR,,New York,NY,10017,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.953055556, 40.747222222]}",196,873,2137
V00159,VCP,Nassau Metals,C,1 Nassau Place and 286 Richmond Valley Road,Page Ave,Staten Island,Richmond,10307,4301,2,40.520656040,-74.237543210,Deed Restriction,Deed Restriction,01,Remedial Design,2004-07-12T00:00:00.000,,copper,Steven Bleich c/o Bridgewater capital,PO Box,,Monsey,NY,11090,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.23754321, 40.52065604]}",585,612,2139
V00475,VCP,NM - Saratoga Springs Lake Ave MGP,C,Lake Ave.,,Saratoga Springs,Saratoga,12866,4615,5,43.082274170,-73.781641330,Deed Restriction,Deed Restriction,01,Remedial Action,2013-01-02T00:00:00.000,,coal tar,Tim Wales,474 Broadway,,Saratoga Springs,NY,12866,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.78164133, 43.08227417]}",994,147,2141
622016,HW,Johnny Cake Road Farm Site,04,Johnny Cake Road,,Mohawk,Herkimer,13407,2222,6,42.968056000,-74.857176000,Environmental Easement,Environmental Easement,00,Certificate of Completion,2011-09-20T00:00:00.000,,trichloroethene (TCE),Kelly Funk,301 Mount Royal Place,,Nanaimo,ZZ,V9R6A4,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.857176, 42.968056]}",683,1269,2088
B00003,ERP,Midtown Plaza,C,727 East Washington Street,,Syracuse (c),Onondaga,13202-,3415,7,43.049290060,-76.141902570,Environmental Easement,Environmental Easement,01,Remedial Action,1999-06-29T00:00:00.000,,,,,,,,,,,,,,,Rebecca Ponza,029 Lyman Hall,Environmental Health Office,Syracuse,NY,13244-1270,"{'type': 'Point', 'coordinates': [-76.14190257, 43.04929006]}",687,728,2132
C241078,BCP,Flushing Industrial Park (Western) Parcel 2,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757023849,-73.836487690,Environmental Easement,Environmental Easement,00,Certificate of Completion,2007-12-27T00:00:00.000,,mercury,NI XIA ZHENG,142-29 37TH AVENUE,SUITE M1,FLUSHING,NY,11354,"Yumei Wang, Jin Gui Sun, and Hao Li",41-60 Main St. #305,,Flushing,11355,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83648769, 40.757023849]}",196,824,2137
130003B,HW,Naval Weapons Ind. Reserve Plant,02,South Oyster Bay Road,,Bethpage,Nassau,11714,3024,1,40.753719000,-73.492416000,Deed Restriction,Deed Restriction,01,Remedial Investigation,1995-07-01T00:00:00.000,CYANIDE (F007),,GRUMMAN AEROSPACE - US NAVY,"GRUMMAN CORP., STEWART AVE",,BETHPAGE,NY,11714,GRUMMAN AEROSPACE - US NAVY,,,,,ZZ,GRUMMAN AEROSPACE - US NAVY,STEWART AVE,,BETHPAGE,NY,11714,"{'type': 'Point', 'coordinates': [-73.492416, 40.753719]}",59,1071,2094
E828143,ERP,Former Service Station,C,8264 Ridge Road,,Clarkson,Monroe,14430,2824,8,43.231600000,-77.922500000,Environmental Easement,Environmental Easement,01,Remedial Investigation,2012-03-30T00:00:00.000,,chromium,Christa Filipowicz,3710 Lake Road,PO Box 858,Clarkson,NY,14430,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-77.9225, 43.2316]}",551,175,2093
C905033,BCP,Olean Redevelopment Parcel 3,C,"1404-1406R, 1420 Buffalo Street",,Olean,Cattaraugus,14760,0512,9,42.091111111,-78.441944444,Environmental Easement,Environmental Easement,01,Remedial Design,2014-04-11T00:00:00.000,,xylene (mixed),Paul Curran,"400 Market Industrial Park, Suite 32",,Wappingers Falls,NY,12590,,,,,,,Paul Curran,"400 Market Industrial Park, Suite 32",,Wappingers Falls,NY,12590,"{'type': 'Point', 'coordinates': [-78.441944444, 42.091111111]}",348,1732,2034
314002,HW,Pawling Rubber Company,02,157 Charles Colman Boulevard,,Pawling,Dutchess,12564,1440,3,41.568693130,-73.597669990,Deed Restriction,Deed Restriction,01,Remedial Action,1992-03-01T00:00:00.000,,trichloroethene (TCE),Craig Busby,157 CHARLES COLMAN BLVD.,,PAWLING,NY,12564,,,,,,,Craig Busby,157 CHARLES COLMAN BLVD.,,PAWLING,NY,12564,"{'type': 'Point', 'coordinates': [-73.59766999, 41.56869313]}",591,999,2040
C241051,BCP,Flushing Industrial Park (Eastern) Parcel 1,C,NW Corner of College Pt Boulevard & 40th Road,,Flushing,Queens,11354,4101,2,40.758489520,-73.834787950,Environmental Easement,Environmental Easement,00,Certificate of Completion,2007-12-21T00:00:00.000,,cadmium,Real Estate Portfolio Mgt (T-2451 Flushing NY),1000 Nicollet Mall - TPN 12H,,Minneapolis,MN,55403,Jin Zhang and Lantao Sun,3364 21st St. Apt. 6C,,Astoria,11106,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83478795, 40.75848952]}",196,824,2137
C905033,BCP,Olean Redevelopment Parcel 3,C,"1404-1406R, 1420 Buffalo Street",,Olean,Cattaraugus,14760,0512,9,42.091111111,-78.441944444,Environmental Easement,Environmental Easement,01,Remedial Investigation,2014-01-06T00:00:00.000,,"1,2,4-trimethylbenzene",Paul Curran,"400 Market Industrial Park, Suite 32",,Wappingers Falls,NY,12590,,,,,,,1470B PV LLC,47 South Hamilton Street,,Poughkeepsie,NY,12601,"{'type': 'Point', 'coordinates': [-78.441944444, 42.091111111]}",348,1732,2034
B00164,ERP,Hanna Furnace (Subparcel 3)(aka Union Sh,A,2 & 4 Fuhrmann Boulevard,,Buffalo (c),Erie,14220-,1502,9,42.836082791,-78.846213470,Environmental Easement,Environmental Easement,01,Remedial Design,2009-07-27T00:00:00.000,,PCB aroclor 1260,Byron Brown,201 City Hall,65 Niagara Square,Buffalo,NY,14202,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.84621347, 42.836082791]}",300,107,2041
826003,HW,Jones Chemical,04,100 Sunny Sol Boulevard,,Caledonia,Livingston,14423,2622,8,42.977964420,-77.843626740,Decision Document,Decision Document,01,Remedial Investigation,2000-09-25T00:00:00.000,"1,1,1-TRICHLOROETHANE (TCA)",,Timothy J. Gaffney,100 Sunny sol boulevard,,caledonia,NY,14423,"JONES CHEMICAL COMPANY, INC.",,,,,ZZ,Timothy j gaffney,100 Sunny Sol Boulevard,,Caledonia,NY,14423,"{'type': 'Point', 'coordinates': [-77.84362674, 42.97796442]}",747,177,2091
314002,HW,Pawling Rubber Company,02,157 Charles Colman Boulevard,,Pawling,Dutchess,12564,1440,3,41.568693130,-73.597669990,Deed Restriction,Deed Restriction,01,Remedial Design,1991-06-01T00:00:00.000,TRICHLOROETHYLENE (F001),,Craig Busby,157 CHARLES COLMAN BLVD.,,PAWLING,NY,12564,,,,,,,Craig Busby,157 CHARLES COLMAN BLVD.,,PAWLING,NY,12564,"{'type': 'Point', 'coordinates': [-73.59766999, 41.56869313]}",591,999,2040
850002,HW,Gould Pumps Engineered Products Division,04,240 FALL STREET,,SENECA FALLS,Seneca,13148,5032,8,42.913967050,-76.814978700,Deed Restriction,Deed Restriction,01,Remedial Investigation,1995-02-01T00:00:00.000,"PAINTS, THINNERS AND SOLVENTS (D001)",iron,"Goulds Pump Adminsitration, Inc.",240 Fall Street,,Seneca Falls,NY,13148,GOULDS PUMP,240 FALL STREET,,SENECA FALLS,13148,NY,GOULDS PUMP,240 FALL STREET,,SENECA FALLS,NY,13148,"{'type': 'Point', 'coordinates': [-76.8149787, 42.91396705]}",577,689,2144
558008,HW,Kingsbury Landfill,04,Burgoyne Avenue,,Kingsbury,Washington,12839,5844,5,43.296177000,-73.565959940,Environmental Easement,Environmental Easement,01,Remedial Action,1989-10-01T00:00:00.000,,chlorobenzene,BURGOYNE AVENUE,Town Office,210 Main Street,HUDSON FALLS,NY,12839,,,,,,,Town of Kingsbury,Town Offices,210 Main Street,Hudson Falls,NY,12839,"{'type': 'Point', 'coordinates': [-73.56595994, 43.296177]}",719,101,2184
C360156,BCP,Larkin Plaza,C,16 Nepperhan Street,,Yonkers,Westchester,10701,6018,3,40.934836944,-73.900465833,Environmental Easement,Environmental Easement,01,,2018-12-31T00:00:00.000,,benzene,Gregory Clancy,"75 Rockefeller Plaza, Suite 1400",,New York,NY,10019,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.900465833, 40.934836944]}",948,1441,2185
C241078,BCP,Flushing Industrial Park (Western) Parcel 2,C,NW Corner of College Pt Blvd & 40th Road,,Flushing,Queens,11354,4101,2,40.757023849,-73.836487690,Environmental Easement,Environmental Easement,01,Remedial Action,2007-12-27T00:00:00.000,,arsenic,hao li,1307 40th road,unit e26,flushing,NY,11354,"Yumei Wang, Jin Gui Sun, and Hao Li",41-60 Main St. #305,,Flushing,11355,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83648769, 40.757023849]}",196,824,2137
C224190,BCP,Greenpoint Marina,C,43-57 West St and 2-24 Oak St,,Brooklyn,Kings,11222,2401,2,40.727861111,-73.959527778,Environmental Easement,Environmental Easement,01,Remedial Action,2019-12-24T00:00:00.000,,mercury,Jack Guttman,240 Water Street,,Brooklyn,NY,11201,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.959527778, 40.727861111]}",894,901,2090
152140,HW,National Heatset Printing Co.,04,1 Adams Boulevard,,East Farmingdale,Suffolk,11735,5220,1,40.717703330,-73.412568440,Environmental Notice,Environmental Notice,01,Remedial Action,2013-10-15T00:00:00.000,"1,1,1-TRICHLORORETHYLENE (TCE)",trichloroethene (TCE),Michael Adamowicz III,14914 Dorcas Circle,,Omaha,NE,68144,,,,,,,Leo Orellana,193 Marine Street,,FARMINGDALE,NY,11735,"{'type': 'Point', 'coordinates': [-73.41256844, 40.71770333]}",1023,1115,2179
C224158,BCP,Former Domsey Fiber Corp Site,C,431 Kent Avenue,,Brooklyn,Kings,11249,2401,2,40.708433333,-73.967775000,Environmental Easement,Environmental Easement,01,Remedial Action,2014-12-30T00:00:00.000,,benzo(k)fluoranthene,Joel Braver,144 Spencer Street,,Brooklyn,NY,11205,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.967775, 40.708433333]}",894,889,2090
130003B,HW,Naval Weapons Ind. Reserve Plant,02,South Oyster Bay Road,,Bethpage,Nassau,11714,3024,1,40.753719000,-73.492416000,Deed Restriction,Deed Restriction,01,Remedial Design,2019-09-03T00:00:00.000,CYANIDE (F007),,GRUMMAN AEROSPACE - US NAVY,"GRUMMAN CORP., STEWART AVE",,BETHPAGE,NY,11714,GRUMMAN AEROSPACE - US NAVY,,,,,ZZ,GRUMMAN AEROSPACE - US NAVY,STEWART AVE,,BETHPAGE,NY,11714,"{'type': 'Point', 'coordinates': [-73.492416, 40.753719]}",59,1071,2094
130003B,HW,Naval Weapons Ind. Reserve Plant,02,South Oyster Bay Road,,Bethpage,Nassau,11714,3024,1,40.753719000,-73.492416000,Deed Restriction,Deed Restriction,01,Remedial Design,1995-09-01T00:00:00.000,ARSENIC  (D003),,GRUMMAN AEROSPACE - US NAVY,"GRUMMAN CORP., STEWART AVE",,BETHPAGE,NY,11714,GRUMMAN AEROSPACE - US NAVY,,,,,ZZ,Grumman Aerospace Corporation,Stewart Avenue,,Bethpage,NY,11714,"{'type': 'Point', 'coordinates': [-73.492416, 40.753719]}",59,1071,2094
C203060,BCP,Lebanon West Farms I and II,C,"1160 Lebanon Street, 1172 and 1175 E. Tremont Ave",,Bronx,Bronx,10460,0301,2,40.840113889,-73.874666667,Environmental Easement,Environmental Easement,01,Remedial Investigation,2012-03-23T00:00:00.000,,benzo(a)pyrene,Michael Wadman,"c/o Phipps Houses, 902 Broadway, 13th Fl",,New York,NY,10010,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.874666667, 40.840113889]}",307,673,2032
B00158,ERP,Independent Leather Tannery,C,321-333 South Main Street,,Gloversville (c),Fulton,12078-,1805,5,43.038637200,-74.352747900,Environmental Easement,Environmental Easement,01,Remedial Design,2005-08-08T00:00:00.000,,xylene (mixed),Mayor,City Hall 3 Frontage Road,,Gloversville,NY,12078-2897,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-74.3527479, 43.0386372]}",385,1227,2085
