Program Number,Program Type,Program Facility Name,Site Class,Address1,Address2,Locality,County,ZIPCode,SWIS Code,DEC Region,Latitude,Longitude,Control Code,Control Type,OU,Project Name,Project Completion Date,Waste Name,Contaminants,Owner Name,Owner Address1,Owner Address2,Owner City,Owner State,Owner ZIP,Disposal Name,Disposal Address1,Disposal Address2,Disposal City,Disposal ZIP,Disposal State,Operator Name,Operator Address1,Operator Address2,Operator City,Operator State,Operator Zip,Georeference,NYS Municipal Boundaries 2,New York Zip Codes 2,Counties 2
V00383,VCP,"Coral Graphics, Inc. (840 Broadway)",C,840 Broadway,,Hicksville,Nassau,11801,3024,1,40.755385570,-73.505279280,Deed Restriction,Deed Restriction,01,Remedial Action,2008-12-23T00:00:00.000,Hazardous Substances,tetrachloroethene (PCE),,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.50527928, 40.75538557]}",59,1489,2094
C314116,BCP,Cornerstone Enterprises Inc.,C,33 East Main Street,,Pawling,Dutchess,12564,1440,3,41.561658756,-73.599523683,Environmental Easement,Environmental Easement,01,Remedial Design,2012-09-28T00:00:00.000,,"1,3,5-trimethylbenzene",,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.599523683, 41.561658756]}",591,999,2040
C224162,BCP,DCA 1 Apartments,C,495 Howard Avenue,,Brooklyn,Kings,11233,2401,2,40.671331620,-73.919194484,Environmental Easement,Environmental Easement,01,Remedial Action,2016-10-24T00:00:00.000,,tetrachloroethene (PCE),Paul Shevchuk,885 Second Ave,Floor 31,New York,NY,10017,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.919194484, 40.67133162]}",894,816,2090
V00186,VCP,Dexter Chemical Corporation,C,819-845 Edgewater Road & 810-842 Whittier St.,,Bronx,Bronx,10474,0301,2,40.818235880,-73.883906930,Deed Restriction,Deed Restriction,01,Remedial Design,2005-11-03T00:00:00.000,Hazardous Substances,benzene,Brian Tivnan,421 BRUCKNER BOULEVARD,,BRONX,NY,10455,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.88390693, 40.81823588]}",307,745,2032
C915150,BCP,"ENRX, Inc. - Voelker Analysis",C,766 New Babcock Street,,Buffalo,Erie,14206,1502,9,42.883888889,-78.825277778,Environmental Easement,Environmental Easement,01,Remedial Action,2015-12-29T00:00:00.000,,lead,Attention: Legal Department,1 Kenview Blvd,,"Brampton, ON",ZZ,L6T 5E6,,,,,,,Todd Levin,4861 Packard Road,,Niagara Falls,NY,14304,"{'type': 'Point', 'coordinates': [-78.825277778, 42.883888889]}",300,62,2041
V00379,VCP,Envirotek 1,C,153 Fillmore Avenue,,Tonawanda,Erie,14150,1516,9,43.018616667,-78.870191667,Deed Restriction,Deed Restriction,01,Remedial Investigation,2001-12-20T00:00:00.000,,ethylbenzene,DUANE B. MANTH,131 FILLMORE AVENUE,,TONAWANDA,NY,14150,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.870191667, 43.018616667]}",280,8,2041
961005,HW,ETE Sanitation and Landfill,04,Broughton Road,,Gainesville,Wyoming,14066,6132,9,42.658158270,-78.126126790,Environmental Notice,Environmental Notice,01,Remedial Investigation,1999-03-01T00:00:00.000,"1,2-DICHLOROPROPANE",ethylene dichloride,David L. Keenan,3457 East Main Street,,Bliss,NY,14024,Edward Herbert,C/O Glen Rock Restaurant,4260 Rock Glen Road,Silver Springs,14550,NY,Edward Herbert,3 South Main Street,,Gainesville,NY,14066,"{'type': 'Point', 'coordinates': [-78.12612679, 42.65815827]}",399,407,2186
C915201D,BCP,ExxonMobil Oil Former Buffalo Terminal OU-3,C,503/625 Elk Street and 1 Babcock St.,,Buffalo,Erie,14210,1502,9,42.862902778,-78.834313889,Environmental Easement,Environmental Easement,01,Remedial Action,2019-12-31T00:00:00.000,,mercury,paul.r neureuter,4 centre drive,,orchard park,NY,14127,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-78.834313889, 42.862902778]}",300,66,2041
V00171,VCP,Federal-Mogul/Huck,C,85 Grand Street,,Kingston,Ulster,12401,5608,3,41.931625590,-73.997750790,Environmental Easement,Environmental Easement,01,Remedial Investigation,2018-07-02T00:00:00.000,,benzo(b)fluoranthene,,,,,,,,,,,,,,,,,,,"{'type': 'Point', 'coordinates': [-73.99775079, 41.93162559]}",425,79,2182
C241051,BCP,Flushing Industrial Park (Eastern) Parcel 1,C,NW Corner of College Pt Boulevard & 40th Road,,Flushing,Queens,11354,4101,2,40.758489520,-73.834787950,Environmental Easement,Environmental Easement,01,Remedial Investigation,2005-06-30T00:00:00.000,,PCB aroclor 1260,William Stein and Judy Turchin,345 Park Ave.,,New York,NY,10154,Jin Zhang and Lantao Sun,3364 21st St. Apt. 6C,,Astoria,11106,NY,,,,,,,"{'type': 'Point', 'coordinates': [-73.83478795, 40.75848952]}",196,824,2137
